epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4391.25,0.54053,0.39158,0.97281,0.98842,0.99072,0.98466,0.91769,0.43252,0.25205,0.86132,0.0007294,0.0007294,0.0007294
43,4495.9,0.53725,0.39262,0.97009,0.98859,0.99072,0.98472,0.9172,0.43584,0.2529,0.8613,0.0007228,0.0007228,0.0007228
44,4600.69,0.53809,0.39227,0.97137,0.98894,0.99072,0.98454,0.91654,0.43646,0.25302,0.86091,0.0007162,0.0007162,0.0007162
45,4702.62,0.5341,0.38964,0.96976,0.98893,0.99072,0.98421,0.91148,0.44665,0.25459,0.86356,0.0007096,0.0007096,0.0007096
46,4806.58,0.52821,0.38366,0.96679,0.98895,0.99072,0.98398,0.90881,0.45574,0.25532,0.86574,0.000703,0.000703,0.000703
47,4909.4,0.52616,0.37968,0.96439,0.98902,0.99072,0.98419,0.90994,0.45466,0.25448,0.86553,0.0006964,0.0006964,0.0006964
48,5011.62,0.52293,0.37527,0.96242,0.98917,0.99072,0.98402,0.90879,0.45821,0.25399,0.86648,0.0006898,0.0006898,0.0006898
49,5115.43,0.5159,0.3709,0.95977,0.98948,0.99072,0.98396,0.90794,0.46057,0.25414,0.86693,0.0006832,0.0006832,0.0006832
50,5218.61,0.52249,0.37667,0.96092,0.98951,0.99072,0.98416,0.90818,0.4619,0.25346,0.86726,0.0006766,0.0006766,0.0006766
51,5323.27,0.51583,0.37201,0.95936,0.98954,0.99072,0.98398,0.90935,0.45724,0.25183,0.86573,0.00067,0.00067,0.00067
52,5426.26,0.51573,0.37442,0.95798,0.98972,0.99072,0.98414,0.91027,0.45461,0.24964,0.86491,0.0006634,0.0006634,0.0006634
53,5529.88,0.51146,0.36829,0.95686,0.98934,0.99072,0.98419,0.91065,0.45278,0.24807,0.86398,0.0006568,0.0006568,0.0006568
54,5633.1,0.51146,0.372,0.95733,0.98916,0.99072,0.98401,0.91081,0.45466,0.2477,0.86432,0.0006502,0.0006502,0.0006502
55,5736.26,0.50534,0.36376,0.95211,0.9893,0.99072,0.9842,0.90998,0.45702,0.24808,0.86505,0.0006436,0.0006436,0.0006436
56,5840.19,0.50312,0.36557,0.95023,0.98928,0.99072,0.98423,0.91112,0.45532,0.24716,0.86449,0.000637,0.000637,0.000637
57,5943.68,0.50495,0.36563,0.95232,0.98928,0.99072,0.98429,0.91088,0.45362,0.24639,0.864,0.0006304,0.0006304,0.0006304
58,6046.26,0.5039,0.35673,0.95244,0.98935,0.99072,0.98449,0.91285,0.45126,0.24614,0.86348,0.0006238,0.0006238,0.0006238
59,6149.33,0.49224,0.35815,0.94273,0.98939,0.99072,0.98438,0.91065,0.45463,0.24704,0.8644,0.0006172,0.0006172,0.0006172
60,6253.31,0.49709,0.35333,0.94945,0.98938,0.99072,0.98459,0.91102,0.45444,0.24639,0.86438,0.0006106,0.0006106,0.0006106
61,6358.48,0.49494,0.35666,0.94686,0.98948,0.99072,0.98491,0.91151,0.45461,0.24629,0.86425,0.000604,0.000604,0.000604
62,6463.51,0.49203,0.3534,0.94513,0.98947,0.99072,0.98461,0.91126,0.45326,0.24584,0.86383,0.0005974,0.0005974,0.0005974
63,6567.78,0.49096,0.35242,0.94218,0.98945,0.99072,0.98441,0.91146,0.45204,0.24491,0.8634,0.0005908,0.0005908,0.0005908
64,6673.59,0.48993,0.34872,0.94247,0.98944,0.99072,0.98417,0.91084,0.45273,0.24428,0.86361,0.0005842,0.0005842,0.0005842
65,6778.23,0.48731,0.34875,0.94307,0.98948,0.99072,0.98455,0.911,0.45358,0.2446,0.86387,0.0005776,0.0005776,0.0005776
66,6882.92,0.48642,0.3443,0.94041,0.98948,0.99072,0.9843,0.90978,0.45481,0.24428,0.86417,0.000571,0.000571,0.000571
67,6987.68,0.48554,0.34783,0.94168,0.98923,0.99072,0.98448,0.91028,0.4537,0.24358,0.8638,0.0005644,0.0005644,0.0005644
