epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4423.6,0.53795,0.37843,0.93348,0.98807,0.991,0.9847,0.93674,0.37677,0.24193,0.83292,0.0007294,0.0007294,0.0007294
43,4529.77,0.53586,0.37775,0.93276,0.98831,0.991,0.98429,0.9401,0.36972,0.24031,0.83157,0.0007228,0.0007228,0.0007228
44,4634.49,0.53763,0.37161,0.93555,0.98827,0.991,0.98429,0.93969,0.36676,0.24004,0.83038,0.0007162,0.0007162,0.0007162
45,4739.21,0.53538,0.37603,0.93298,0.98804,0.99077,0.98433,0.93968,0.36552,0.23956,0.82962,0.0007096,0.0007096,0.0007096
46,4843.74,0.52902,0.36529,0.92982,0.98843,0.99106,0.98444,0.94134,0.36123,0.23851,0.82823,0.000703,0.000703,0.000703
47,4948.75,0.52991,0.36303,0.92924,0.98847,0.99105,0.98447,0.94217,0.36012,0.23882,0.82747,0.0006964,0.0006964,0.0006964
48,5051.77,0.52317,0.3589,0.92637,0.98839,0.991,0.98441,0.94405,0.35461,0.2357,0.82587,0.0006898,0.0006898,0.0006898
49,5159.01,0.51728,0.362,0.92486,0.98869,0.991,0.98433,0.94548,0.35013,0.23366,0.82463,0.0006832,0.0006832,0.0006832
50,5263.99,0.5213,0.35911,0.92788,0.9884,0.991,0.9843,0.94799,0.3467,0.23208,0.82407,0.0006766,0.0006766,0.0006766
51,5368.85,0.51563,0.35251,0.92317,0.98864,0.991,0.98429,0.94812,0.34417,0.2326,0.8241,0.00067,0.00067,0.00067
52,5473.53,0.51155,0.35807,0.9208,0.9888,0.991,0.98444,0.95055,0.34105,0.23189,0.82369,0.0006634,0.0006634,0.0006634
53,5577.82,0.49971,0.35277,0.91779,0.98885,0.991,0.98458,0.95129,0.33871,0.23171,0.82322,0.0006568,0.0006568,0.0006568
54,5682.63,0.48768,0.34799,0.91172,0.98896,0.991,0.98454,0.95242,0.33598,0.23095,0.82237,0.0006502,0.0006502,0.0006502
55,5789.73,0.48175,0.33921,0.90922,0.98915,0.991,0.98439,0.95408,0.33119,0.22987,0.82159,0.0006436,0.0006436,0.0006436
56,5899.27,0.47584,0.34472,0.90618,0.98892,0.991,0.98431,0.95548,0.32897,0.2292,0.82097,0.000637,0.000637,0.000637
57,6003.57,0.47451,0.33952,0.90791,0.98888,0.991,0.98457,0.95525,0.32825,0.22864,0.82078,0.0006304,0.0006304,0.0006304
58,6108.99,0.47046,0.33479,0.90466,0.98901,0.991,0.9846,0.95647,0.32634,0.22727,0.82056,0.0006238,0.0006238,0.0006238
59,6213.47,0.45617,0.32958,0.89698,0.98898,0.991,0.98462,0.95686,0.32599,0.22698,0.82062,0.0006172,0.0006172,0.0006172
60,6318.04,0.45886,0.32932,0.90043,0.98908,0.991,0.98459,0.9577,0.32344,0.22568,0.82008,0.0006106,0.0006106,0.0006106
61,6422.26,0.45291,0.33035,0.89917,0.98906,0.991,0.98465,0.95823,0.3206,0.22423,0.81947,0.000604,0.000604,0.000604
62,6527.23,0.44649,0.32896,0.89479,0.98906,0.991,0.98478,0.95901,0.3181,0.22346,0.81945,0.0005974,0.0005974,0.0005974
63,6631.06,0.4472,0.32458,0.89447,0.98906,0.991,0.98456,0.95969,0.31553,0.22208,0.81898,0.0005908,0.0005908,0.0005908
64,6735.15,0.43831,0.3237,0.89258,0.98901,0.991,0.98464,0.95971,0.31452,0.22214,0.8188,0.0005842,0.0005842,0.0005842
65,6840.33,0.44061,0.32378,0.89156,0.98905,0.991,0.98462,0.96043,0.31304,0.22191,0.81857,0.0005776,0.0005776,0.0005776
66,6943.34,0.43784,0.31762,0.89216,0.98906,0.991,0.98463,0.96111,0.31115,0.22101,0.81818,0.000571,0.000571,0.000571
67,7047,0.43424,0.32036,0.88954,0.98906,0.991,0.98458,0.96241,0.30865,0.22029,0.81777,0.0005644,0.0005644,0.0005644
68,7153.56,0.42966,0.3189,0.88789,0.98925,0.991,0.98453,0.96261,0.30907,0.21959,0.82051,0.0005578,0.0005578,0.0005578
69,7259.54,0.42811,0.31774,0.88764,0.98927,0.991,0.98465,0.96334,0.30711,0.21959,0.81986,0.0005512,0.0005512,0.0005512
